date,open,high,low,close,volume,korcom
20180511,5240,5340,5200,5330,64428,0
20180510,5120,5250,5120,5240,91473,0
20180509,5030,5220,5030,5140,219002,0
20180508,5350,5470,5130,5180,173582,0
20180504,5480,5570,5300,5340,289628,0
20180503,5430,5520,5410,5440,114766,0
20180502,5650,5650,5370,5450,282393,0
20180430,5810,5900,5610,5680,190013,0
20180427,5800,6030,5770,5880,239165,0
20180426,5840,5950,5750,5800,110294,0
20180425,5990,6050,5740,5850,249866,0
20180424,5540,6020,5540,6000,321115,-6243
20180423,5940,6000,5600,5600,227191,-4254
20180420,6060,6090,5900,5970,180246,0
20180419,6270,6320,5960,5980,516773,-597
20180418,5950,6150,5910,6150,387921,1375
20180417,5840,5960,5750,5910,222903,6601
20180416,5950,6020,5850,5930,277791,0
20180413,5790,6770,5780,5860,1877794,-12242
20180412,5700,5720,5580,5700,228394,0
20180411,5570,5690,5450,5660,258969,2137
20180410,5270,5510,5150,5500,384083,0
20180409,5320,5490,5310,5310,78823,6273
20180406,5430,5440,5260,5320,149488,11862
20180405,5400,5460,5350,5420,154028,321
20180404,5540,5560,5270,5350,205505,4110
20180403,5310,5440,5230,5440,151581,-1658
20180402,5330,5400,5300,5340,152828,-1550
20180330,5350,5460,5310,5350,195701,-1528
20180329,5130,5580,5090,5310,521310,-13772
20180328,5340,5350,5020,5090,329253,-57869
20180327,5400,5490,5360,5410,212007,-3644
20180326,5150,5470,5150,5400,284239,-827
20180323,5320,5550,5150,5260,485111,-67815
20180322,5980,5980,5620,5620,486140,-41744
20180321,6160,6280,5570,5980,573941,-21298
20180320,6190,6240,6110,6120,212629,-27352
20180319,6220,6350,6180,6190,238090,3545
20180316,6530,6530,6350,6360,276103,-1241
20180315,6520,6620,6330,6520,353008,1999
20180314,7280,7330,6520,6540,1444662,-54892
20180313,7090,7090,6900,7030,912380,-29147
20180312,6770,6960,6690,6880,320526,257
20180309,6720,6870,6620,6630,256831,0
20180308,6430,6880,6410,6720,619237,7295
20180307,6570,6650,6370,6430,303817,881
20180306,6160,6570,6080,6570,344780,-7756
20180305,6390,6470,6130,6130,183770,1798
20180302,6180,6430,6060,6310,212263,2548
20180228,6530,6530,6120,6290,442059,27161
20180227,6750,6870,6490,6530,398236,-101035
20180226,6950,7040,6650,6750,272716,-9188
20180223,7250,7400,6920,6980,657162,-36005
20180222,7130,7260,6910,7160,548251,28373
20180221,6860,7230,6720,7230,1159369,185084
20180220,6500,6860,6370,6740,777331,44804
20180219,6470,6680,6430,6470,406212,-1916
20180214,6350,6490,6270,6330,367979,-33133
20180213,6610,6940,6350,6350,995495,-943
20180212,6550,6770,6480,6560,879687,20273
20180209,6700,6890,6430,6470,768520,-64835
20180208,6850,7300,6830,7010,1046733,23214
20180207,7700,8030,6900,6900,1731780,-103154
20180206,7230,7610,6750,7500,1952345,131073
20180205,7340,8140,7100,7610,4954175,203192
20180202,7290,8140,6980,7390,5387483,113051
20180201,7140,7850,6940,7360,4641806,100555
20180131,6570,7880,6390,7200,13753930,242795
20180130,6110,6620,6050,6530,2934837,188877
20180129,6150,6170,6010,6080,377448,10281
20180126,6180,6260,6070,6140,537411,19927
20180125,6060,6160,5990,6090,414596,9388
20180124,6040,6100,5920,6000,342997,2644
20180123,6070,6200,5910,6010,904568,-662
20180122,5920,6020,5750,5940,425949,0
20180119,5590,5940,5510,5870,1165867,79236
20180118,5620,5660,5550,5560,271623,0
20180117,5400,5690,5310,5570,557442,0
20180116,5680,5740,5490,5540,458969,2
20180115,5510,5810,5510,5760,647396,-9111
20180112,5760,5860,5260,5510,819956,12299
20180111,6150,6290,5490,5610,1862620,-89401
20180110,6350,6770,5970,6490,2973020,-25251
20180109,6700,6940,6030,6250,2920686,65431
20180108,6380,6750,6220,6520,2715511,0
20180105,6400,6520,6160,6360,1899804,5045
20180104,5770,6800,5690,6500,8292860,-15658
20180103,5730,5820,5510,5580,879767,2000
20180102,5470,5690,5380,5610,883765,1190
20171228,5270,5460,5240,5380,620435,64347
20171227,5080,5390,5040,5310,371430,0
20171226,5280,5340,5000,5040,487282,0
20171222,5310,5610,5210,5220,1227904,0
20171221,5240,5700,5180,5200,1669834,0
20171220,5150,5760,4990,5210,1497241,0
20171219,5670,5860,5110,5150,2190688,0
20171218,5450,5980,5410,5920,4177655,0
20171215,4740,5560,4740,5290,3824959,0
20171214,4750,5700,4615,4765,3730871,1
20171213,4620,4725,4575,4640,283261,1
20171212,4730,4850,4500,4575,415686,-2998
20171211,4750,4940,4730,4760,507287,2
20171208,6050,6940,5010,5060,5401424,2
20171207,5520,5650,5040,5620,583259,3
20171206,5560,5650,5450,5490,269834,5
20171205,5420,5850,5350,5490,1067504,6
20171204,5500,5570,5420,5420,232703,8
20171201,5730,5740,5450,5490,519334,-41972
20171130,5710,5940,5500,5640,809041,40977
20171129,5720,5840,5580,5600,415126,1029
20171128,5850,6290,5750,5750,2346155,11
20171127,5900,5920,5560,5670,598699,4
20171124,6000,6120,5910,5920,503706,0
20171123,5940,6200,5910,6060,1102531,0
20171122,5890,6090,5770,5980,926797,0
20171121,6020,6080,5700,5900,846597,0
20171120,5860,6060,5730,6050,1143323,2945
20171117,6110,6330,5680,5810,2816303,0
20171116,5390,5820,5160,5750,1301454,0
20171115,5590,5700,5360,5360,867822,-3
20171114,5450,5700,5430,5590,1279350,8
20171113,5290,5730,5280,5470,2111565,3
20171110,5250,5470,5200,5330,784911,0
20171109,5490,5490,5180,5270,926338,0
20171108,5570,5590,5360,5430,1492118,0
20171107,5490,5670,5310,5670,1811706,0
20171106,5260,5610,5160,5560,4218214,0
20171103,5420,5430,5100,5430,7308450,3000
20171102,4100,4390,4080,4180,765659,0
20171101,3995,4195,3995,4085,245927,0
20171031,3990,4020,3950,3990,130820,0
20171030,4080,4150,3990,4005,141048,0
20171027,4125,4165,4080,4080,114587,0
20171026,4165,4250,4130,4130,91817,0
20171025,4200,4290,4160,4175,165289,0
20171024,4130,4220,4130,4160,87796,0
20171023,4220,4220,4150,4155,74872,0
20171020,4190,4255,4165,4190,115278,0
20171019,4245,4345,4180,4180,260228,0
20171018,4300,4350,4200,4200,214954,0
20171017,4105,4535,4105,4290,1144417,0
20171016,4200,4270,4020,4120,187486,0
20171013,4310,4370,4205,4220,158954,0
20171012,4390,4450,4305,4315,178034,0
20171011,4300,4450,4300,4345,198489,0
20171010,4355,4385,4300,4300,235300,0
20170929,4355,4485,4265,4320,261879,0
20170928,4575,4575,4380,4380,263147,1
20170927,4450,4600,4370,4455,359260,9
20170926,4560,4970,4355,4400,1236011,0
20170925,4145,4950,4145,4415,3017336,0
20170922,4565,4600,4220,4230,314164,0
20170921,4665,5100,4550,4565,1156302,0
20170920,4870,4895,4610,4620,213569,0
20170919,4975,4985,4815,4845,176334,0
20170918,4820,4945,4820,4920,134325,0
20170915,4900,4925,4840,4860,165515,-8000
20170914,4890,4985,4855,4925,171103,0
20170913,4990,5060,4920,4920,229233,0
20170912,5110,5140,5010,5020,152758,0
20170911,5180,5180,5000,5050,255441,-10000
20170908,4955,5290,4955,5080,977457,0
20170907,4905,5340,4905,4970,775153,0
20170906,4840,4965,4840,4860,147253,0
20170905,5040,5140,4700,4885,300382,0
20170904,4890,5130,4850,5050,268346,0
20170901,5220,5320,5180,5230,270771,12000
20170831,5370,5430,5220,5220,590354,1000
20170830,5330,5400,5250,5310,361719,5000
20170829,5120,5920,5120,5300,3662155,0
20170828,5130,5390,5130,5150,670821,0
20170825,5180,5400,5150,5150,639639,274
20170824,5130,5170,5080,5100,126951,0
20170823,5210,5270,5120,5130,154315,0
20170822,5150,5200,5140,5170,130780,0
20170821,5050,5290,5040,5150,503257,0
20170818,5070,5100,4980,5030,160053,0
20170817,5180,5190,5050,5120,190548,0
20170816,4870,5540,4870,5110,2105776,0
20170814,4910,4980,4865,4870,133527,26
20170811,5120,5140,4760,4865,330749,6
20170810,5200,5290,5110,5150,186546,7
20170809,5410,5410,5240,5250,177060,10
20170808,5350,5420,5320,5410,147617,12
20170807,5270,5480,5270,5300,211262,15
20170804,5160,5450,5150,5280,509223,14
20170803,5530,5540,5280,5280,230512,29
20170802,5360,5630,5360,5500,332203,-119
20170801,5280,5670,5280,5380,517995,0
20170731,5450,5510,5270,5280,323226,-1913
20170728,5660,6010,5510,5510,646111,0
20170727,5900,6200,5660,5750,842260,0
20170726,6020,6150,5930,5930,385703,0
20170725,6180,6180,5810,6080,1041017,-6388
20170724,6670,6680,6120,6120,1299376,6388
20170721,6490,6590,6340,6530,1280730,0
20170720,6200,6470,6050,6440,1439596,0
20170719,6030,6260,6010,6240,819033,0
20170718,6020,6230,6020,6030,730041,0
20170717,6110,6290,6020,6060,957895,0
20170714,6310,6700,6100,6110,6627007,0
20170713,5920,6170,5870,6120,776273,0
20170712,5950,6070,5860,5880,378883,0
20170711,5850,6080,5840,5930,429569,0
20170710,6120,6210,5870,5870,632348,0
20170707,6060,6190,6000,6090,500274,0
20170706,6210,6240,6040,6130,644746,0
20170705,5950,6370,5880,6200,1627172,0
20170704,6130,6220,5860,5870,958604,0
20170703,5920,6140,5820,6130,742104,0
20170630,6020,6280,5930,5930,1461710,0
20170629,5810,6330,5760,5960,3492926,1913
20170628,6020,6090,5700,5800,1809598,0
20170627,5140,6510,5140,6250,10672739,0
20170626,5250,5310,5110,5140,174379,0
20170623,5170,5470,5150,5250,378709,0
20170622,5120,5350,5120,5130,295038,0
20170621,5290,5370,5080,5140,405015,0
20170620,5580,5630,5290,5290,510439,0
20170619,5900,5960,5600,5620,574050,0
20170616,5910,6080,5850,5880,617193,0
20170615,5720,6390,5680,5850,3458684,0
20170614,5700,5870,5420,5660,462385,0
20170613,5820,5990,5250,5680,610386,0
20170612,6090,6090,5880,5880,447197,0
20170609,5960,6130,5870,6100,398029,0
20170608,5970,6180,5870,5910,790112,735
20170607,6230,6270,5890,5920,683058,0
20170605,6630,6650,6160,6180,833360,0
20170602,6740,6850,6600,6600,495877,0
20170601,6660,6950,6650,6670,692957,0
20170531,6900,6910,6690,6700,577903,-735
20170530,6880,7030,6750,6860,915905,0
20170529,7050,7070,6750,6800,722256,0
20170526,6970,7120,6830,7050,1103677,0
20170525,7000,7390,6790,6910,3064866,0
20170524,7150,7240,6910,6910,1589317,0
20170523,6780,7250,6600,7250,2062838,0
20170522,6750,6950,6670,6750,1441573,0
20170519,6590,6760,6500,6630,1102095,0
20170518,6650,6770,6470,6500,1082034,0
20170517,6860,6980,6770,6890,932936,0
20170516,7050,7110,6850,6850,1660478,0
20170515,6670,7270,6460,7210,2932786,0
20170512,7040,7130,6750,6750,1473844,0
20170511,6740,7040,6620,7040,2049944,0
20170510,7330,7700,6690,6690,5996215,0
20170508,6090,6930,6090,6740,5886565,0
20170504,6200,6350,5930,5990,1427131,96
20170502,6130,6300,6000,6160,2047407,0
20170428,5920,6620,5850,5900,9858144,-1
20170427,5710,5760,5410,5640,894794,0
20170426,5570,5800,5400,5670,1411747,0
20170425,5430,6020,5400,5500,2082706,0
20170424,5840,5930,5320,5370,1061837,0
20170421,5980,6050,5840,5860,755417,0
20170420,6350,6420,5950,5990,1167661,0
20170419,6590,6780,6350,6350,1578210,0
20170418,6400,6650,6350,6460,1448748,-1
20170417,5960,6560,5950,6410,3005087,-7800
20170414,6270,6410,5780,5900,1473767,1800
20170413,6680,6890,6290,6360,1479765,6001
20170412,7340,7350,6740,6740,1930429,0
20170411,6780,7150,6430,7100,3624697,0
20170410,7150,7380,6660,6780,1787112,-539
20170407,7560,7650,6900,7300,2705068,0
20170406,8210,8280,7320,7500,3006778,0
20170405,8030,8520,7860,8210,2321407,540
20170404,9070,9080,7890,8000,2789428,-274
20170403,9120,9260,8970,9070,1313444,0
20170331,8850,9490,8760,9120,3128363,0
20170330,8510,9030,8390,9030,2263535,0
20170329,8830,9170,8530,8600,5455147,-15000
20170328,7830,8400,7710,8400,4941653,4500
20170327,7590,8340,7260,7670,4799535,-1
20170324,8000,8180,7550,7660,3071375,-2000
20170323,7940,8040,7400,8020,3427268,-25968
20170322,8030,8120,7450,7450,1983557,6968
20170321,8090,8290,7920,8120,2682797,-75000
20170320,7950,8200,7300,8100,3093902,-36164
20170317,7830,8570,7520,7750,9764717,499
20170316,7440,7860,7190,7300,4354145,10500
20170315,7720,7850,7200,7430,3319523,0
20170314,7220,8600,7160,7700,13271969,-2134
20170313,6430,7680,6260,7300,13664179,0
20170310,5150,6690,4510,6180,11793423,613
20170309,5010,5210,4760,5210,3616514,0
20170308,4555,5240,4550,4960,9674451,0
20170307,4600,4745,4460,4510,1831029,0
20170306,4530,4950,4460,4635,5450802,2022
20170303,5030,5310,4595,4600,2868719,0
20170302,5030,5230,4785,5090,2927292,2
20170228,5140,5260,5030,5050,2626149,0
20170227,5150,5550,5050,5380,3752079,0
20170224,5090,5590,4900,5150,10390821,0
20170223,4955,5160,4760,4900,6718228,0
20170222,4280,5450,4200,4900,26050913,0
20170221,4420,4510,4175,4355,3737566,-45000
20170220,4320,4650,4290,4535,7024487,-5000
20170217,4180,4625,4035,4380,17410795,-4950
20170216,3275,4205,3270,4205,11679483,-5050
20170215,3230,3275,3185,3235,461510,0
20170214,3275,3315,3125,3280,798314,0
20170213,3395,3475,3210,3245,1236695,0
20170210,3410,3630,3280,3320,2242684,0
20170209,3160,3575,3100,3440,5727220,0
20170208,3380,3740,3195,3200,13748435,-120300
20170207,3020,3150,2970,3145,1919895,0
20170206,3090,3110,2950,2990,1663932,0
20170203,2750,3395,2750,3105,9854302,-197000
20170202,2900,2935,2660,2660,443081,0
20170201,2965,2975,2910,2925,247253,0
20170131,2900,2985,2900,2930,314699,0
20170126,2825,2935,2820,2900,572682,0
20170125,3015,3020,2780,2795,984394,0
20170124,3150,3190,3005,3005,684845,-2539
20170123,3335,3490,3185,3205,844992,-54700
20170120,3405,3430,3300,3320,590174,0
20170119,3505,3620,3400,3405,759973,-48000
20170118,3550,3580,3400,3430,1028458,0
20170117,3990,4030,3555,3555,2973514,0
20170116,3670,3965,3660,3750,4751470,0
20170113,3665,3775,3600,3630,1878618,0
20170112,3710,3815,3505,3645,1635549,0
20170111,3445,3900,3410,3770,5252317,2539
20170110,3355,3530,3320,3450,1495526,0
20170109,3325,3440,3310,3355,900185,0
20170106,3325,3420,3295,3300,674116,0
20170105,3400,3420,3290,3305,889212,0
20170104,3540,3545,3385,3400,1033387,0
20170103,3495,3650,3445,3510,2325357,0
20170102,3760,3770,3430,3505,2000082,-1200
20161229,3890,3965,3730,3760,2492470,0
20161228,3835,4095,3750,3945,4235051,0
20161227,3715,4135,3690,3800,12112609,0
20161226,3780,4150,3565,3615,12785582,-1300
20161223,4080,4095,3710,3790,8270124,2500
20161222,3570,4340,3460,4070,27464221,-23000
20161221,3585,3595,3335,3340,4330607,-52200
20161220,3670,4000,3405,3715,14295741,-390290
20161219,3400,4400,2950,3560,20519560,-2771412
